category,city_name,law_name,hyperlink,state_code
Renters,Dallas,Texas Property Code Ch.92 - Habitability,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Dallas,Texas Property Code 92.056 - Repairs After Notice,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.056,TX
Renters,Dallas,Texas Property Code 92.103 - Security Deposit Return 30 Days,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Renters,Dallas,Texas Eviction Law - Non-Payment and Lease Violations,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.24.htm,TX
Pet Policy,Dallas,Texas Pet Law - Lease Controls All Pet Rules,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,Dallas,HUD - ESA and Service Animals No Fees Required,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Renters,Austin,Texas Property Code Ch.92 - Habitability Austin,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Austin,Texas Property Code 92.103 - Security Deposit Return Austin,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Pet Policy,Austin,Texas Pet Law - Lease Controls Pet Rules Austin,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,Austin,HUD - ESA and Service Animals No Fees Austin,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Renters,Houston,Texas Property Code Ch.92 - Habitability Houston,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Houston,Texas Property Code 92.103 - Security Deposit Return Houston,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Renters,Houston,Texas Property Code 92.104 - Itemized Deposit Deductions Houston,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.104,TX
Pet Policy,Houston,Texas Pet Law - Lease Controls Pet Rules Houston,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,Houston,HUD - ESA and Service Animals No Fees Houston,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Renters,San Antonio,Texas Property Code Ch.92 - Habitability San Antonio,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,San Antonio,Texas Property Code 92.103 - Security Deposit Return San Antonio,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
Pet Policy,San Antonio,Texas Pet Law - Lease Controls Pet Rules San Antonio,https://texaslawhelp.org/article/pets-and-leases,TX
ESA,San Antonio,HUD - ESA and Service Animals No Fees San Antonio,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Rent Control,Texas,Texas No Rent Control - Statewide,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Renters,Texas,Texas Security Deposit 30 Days - Statewide Rule,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm#92.103,TX
ESA,Texas,Fair Housing Act - ESA Protected Statewide All Cities,https://www.hud.gov/program_offices/fair_housing_equal_opp/assistance_animals,TX
Rental insurance,Texas,Texas Dept of Insurance,https://www.tdi.texas.gov/tips/renters-insurance.html,TX
Rental insurance,Texas,Texas Attorney General,https://www.texasattorneygeneral.gov/consumer-protection/home-real-estate-and-travel/renters-rights,TX
Rental insurance,Texas,Texas Property Code Ch.92,https://statutes.capitol.texas.gov/docs/PR/htm/PR.92.htm,TX
Rental insurance,Texas,Texas State Law Library,https://guides.sll.texas.gov/landlord-tenant-law,TX
Rental insurance,Houston,Harris County Housing Authority,https://hchatexas.org/housing-choice-voucher-program/documents-and-forms/,TX
Rental insurance,Dallas,Dallas Office of Emergency Management,https://dallascityhall.com/departments/officeemergencymanagement/Pages/Renters-Insurance.aspx,TX
Rental insurance,Florida,Florida Office of Insurance Regulation,https://floir.gov/consumers,FL
Rental insurance,Florida,Florida Bar — Rights and Duties of Tenants and Landlords,https://www.floridabar.org/public/consumer/tip014/,FL
Rental insurance,Miami,Miami-Dade County Public Housing and Community Development,https://www.miamidade.gov/housing/,FL
Rental insurance,Florida,FL Dept of Financial Services — Renters Insurance Overview,https://www.myfloridacfo.com/division/consumers/understanding-insurance/renters-insurance,FL
Rental insurance,Florida,Florida Division of Emergency Management — Flood Insurance,https://www.floridadisaster.org/planprepare/flood-insurance/,FL
Rental insurance,Georgia,Georgia Dept of Community Affairs — Landlord-Tenant Handbook,https://dca.georgia.gov/housing-choice-voucher/landlords/georgia-landlord-tenant-handbook,GA
Rental insurance,Georgia,Georgia AG Consumer Protection — Landlord-Tenant Issues,https://consumer.georgia.gov/consumer-topics/landlord-tenant-issues-and-handbook,GA
Rental insurance,Georgia,Georgia ConsumerEd — Renting an Apartment or House,https://consumered.georgia.gov/your-home/renting-apartment-or-house,GA
Rental insurance,Atlanta,Atlanta Housing — HCVP Property Owners,https://www.atlantahousing.org/developers-property-owners/,GA
Rental insurance,Colorado,Colorado DORA Division of Insurance — Renters Insurance,https://doi.colorado.gov/types-of-insurance/homeowners/renters-insurance,CO
Rental insurance,Boulder,City of Boulder — Landlord Tenant Handbook,https://bouldercolorado.gov/landlord-tenant-handbook,CO
Rental insurance,Denver,Denver Dept of Housing Stability,https://denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Department-of-Housing-Stability,CO
Rental insurance,Denver,Denver Renters Housing Handbook 2026 (PDF),https://www.denvergov.org/files/assets/public/v/1/housing-stability/documents/renters-housing-handbook-english-_-sept-2025-edits.pdf,CO
Rental insurance,Colorado,Colorado Housing Connects,https://coloradohousingconnects.org,CO
Rental insurance,Colorado,Colorado DORA — Are You Disaster Ready,https://doi.colorado.gov/insurance-products/homeowners/renters-insurance/being-prepared/are-you-disaster-ready,CO
Rental insurance,Colorado,Colorado Water Conservation Board — Flood Insurance FAQ,https://cwcb.colorado.gov/flood-insurance-faq,CO
Rental insurance,New York,NY Dept of Financial Services — Renters Insurance,https://www.dfs.ny.gov/consumers/help_for_homeowners/renters_tenants/renters_insurance,NY
Rental insurance,New York,NY DFS — Homeowners & Tenants Insurance Guide,https://www.dfs.ny.gov/consumers/help_for_homeowners/homeowner_tenant_guide,NY
Rental insurance,New York,NY Attorney General — Tenants Page,https://ag.ny.gov/resources/individuals/tenants-homeowners/tenants,NY
Rental insurance,New York,NY AG — Residential Tenants Rights Guide,https://ag.ny.gov/publications/residential-tenants-rights-guide,NY
Rental insurance,New York,NY Senate — Real Property Law Chapter 50,https://www.nysenate.gov/legislation/laws/RPP,NY
Rental insurance,New York City,NYC HPD — Tenants Rights and Responsibilities,https://www.nyc.gov/site/hpd/renters/tenants-rights.page,NY
Rental insurance,New York City,NYC Rent Guidelines Board,https://rentguidelinesboard.cityofnewyork.us/,NY
Rental insurance,New York City,NYC HPD — Section 8 Housing Choice Voucher Program,https://www.nyc.gov/site/hpd/services-and-information/about-section-8.page,NY
Rental insurance,New York,NY HCR — Tenants (DHCR),https://hcr.ny.gov/tenants,NY
Rental insurance,New York,NY HCR — Section 8 Housing Choice Voucher Program,https://hcr.ny.gov/hcv,NY
Rental insurance,California,California Dept of Insurance — Residential Insurance Guide,https://www.insurance.ca.gov/01-consumers/105-type/95-guides/03-res/res-ins-guide.cfm,CA
Rental insurance,California,CA Dept of Real Estate — Landlord Tenant Guide 2026,https://www.dre.ca.gov/publications/ResourceGuidebook/index.html,CA
Rental insurance,California,California Attorney General — Landlord Tenant Issues,https://oag.ca.gov/tenants,CA
Rental insurance,California,California Civil Code — Tenant Protection Act (CRS 1947.12),https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1947.12,CA
Rental insurance,California,CA Housing is Key — State Housing Portal,https://housing.ca.gov/,CA
Rental insurance,California,CA Dept of Insurance — Wildfire Insurance Moratorium,https://www.insurance.ca.gov/01-consumers/140-catastrophes/MandatoryOneYearMoratoriumNonRenewals.cfm,CA
Rental insurance,California,CA Dept of Insurance — FAIR Plan (insurer of last resort),https://www.insurance.ca.gov/01-consumers/105-type/95-guides/03-res/fairplan.cfm,CA
Rental insurance,Los Angeles,HACLA — Section 8 Landlord Information (Los Angeles),https://www.hacla.org/en/about-section-8/landlord-information,CA
Rental insurance,California,CA OES — Wildfire Recovery Housing Assistance,https://wildfirerecovery.caloes.ca.gov/general-info/housing-assistance/,CA
Rental insurance,California,CA Courts — California Tenants Guide 2025 (PDF),https://dre.ca.gov/files/pdf/2025_Landlord_Tenant_Guide.pdf,CA
Rental insurance,Massachusetts,Mass.gov — Renters Insurance,https://www.mass.gov/info-details/renters-insurance,MA
Rental insurance,Massachusetts,Mass.gov DOI — Protecting Your Belongings with Renters Insurance,https://www.mass.gov/info-details/protecting-your-belongings-with-renters-insurance,MA
Rental insurance,Massachusetts,MA Attorney General — Guide to Landlord and Tenant Rights 2025,https://www.mass.gov/guides/the-attorney-generals-guide-to-landlord-and-tenant-rights,MA
Rental insurance,Massachusetts,Mass.gov — MA Law About Landlord and Tenant (MGL),https://www.mass.gov/info-details/massachusetts-law-about-landlord-and-tenant,MA
Rental insurance,Massachusetts,Mass.gov — Landlords and Tenants Rights Hub,https://www.mass.gov/landlords-and-tenants-rights-and-responsibilities,MA
Rental insurance,Massachusetts,Mass.gov DOI — Flood Assistance and Insurance Information,https://www.mass.gov/info-details/flood-assistance-and-insurance-information,MA
Rental insurance,Massachusetts,Mass.gov EOHLC — Housing Assistance for MA Residents,https://www.mass.gov/info-details/massachusetts-housing-assistance-emergency-and-long-term-help,MA
Rental insurance,Massachusetts,Mass.gov — MA Law About Public and Subsidized Housing,https://www.mass.gov/info-details/massachusetts-law-about-public-subsidized-and-emergency-housing,MA
Rental insurance,Massachusetts,Mass.gov DOI — Short-Term Rental Insurance (Chapter 337),https://www.mass.gov/info-details/short-term-rental-insurance,MA
Rental insurance,Massachusetts,Mass.gov DOI — Flood Insurance Options for MA Residents 2025,https://www.mass.gov/news/flood-insurance-options-for-massachusetts-residents,MA
